Date,closing_price,adj_close_price,Tweets
09/11/14,126.370003,120.528755,
10/11/14,124.43,118.678413,
11/11/14,124.25,118.506744,
12/11/14,125.32,119.527283,
13/11/14,127.349998,121.46344,
14/11/14,126.010002,120.185402,
15/11/14,125.599998,119.794342,
16/11/14,126.559998,120.709961,
17/11/14,127.099998,121.225006,
18/11/14,126.849998,120.986565,
19/11/14,126.300003,120.46199,
20/11/14,126.779999,120.919792,
21/11/14,126.169998,120.33799,
22/11/14,124.75,118.983627,
23/11/14,127.599998,121.701889,
24/11/14,126.910004,121.0438,
25/11/14,128.619995,122.674751,
26/11/14,129.669998,123.676208,
27/11/14,130.279999,124.257996,
28/11/14,132.649994,126.518456,
29/11/14,130.559998,124.525078,
30/11/14,128.639999,122.693825,
01/12/14,125.150002,119.365135,
02/12/14,128.949997,122.989487,
03/12/14,128.699997,122.751053,
04/12/14,125.800003,119.985092,
05/12/14,125.010002,119.231606,
06/12/14,125.260002,119.969086,
07/12/14,127.620003,122.229424,
08/12/14,126.32,120.984306,
09/12/14,125.870003,120.553329,
10/12/14,126.010002,120.687416,
11/12/14,128.949997,123.503227,
12/12/14,128.770004,123.330833,
13/12/14,130.190002,124.690865,
14/12/14,130.070007,124.575912,
15/12/14,130.059998,124.566338,
16/12/14,131.389999,125.840164,
17/12/14,132.539993,126.941574,
18/12/14,129.619995,124.14492,
19/12/14,132.039993,126.462708,
20/12/14,131.779999,126.213676,
21/12/14,130.279999,124.777046,
22/12/14,130.539993,125.026062,
23/12/14,129.960007,124.470581,
24/12/14,130.119995,124.623802,
25/12/14,129.360001,123.895912,
26/12/14,128.649994,123.215904,
27/12/14,127.800003,122.401802,
28/12/14,127.419998,122.037849,
29/12/14,128.880005,123.436188,
30/12/14,128.589996,123.158417,
31/12/14,127.169998,121.798416,
01/01/15,126.919998,121.558975,
02/01/15,127.599998,122.210251,
03/01/15,127.300003,121.92292,
04/01/15,127.879997,122.478409,
05/01/15,126.599998,121.252487,
06/01/15,127.610001,122.219826,
07/01/15,127.029999,121.664322,
08/01/15,128.110001,122.698708,
09/01/15,127.5,122.114471,
10/01/15,126.75,121.396149,
11/01/15,124.529999,119.269913,
12/01/15,125.43,120.131905,
13/01/15,126.599998,121.252487,
14/01/15,126.440002,121.099236,
15/01/15,126,120.677834,
16/01/15,125.690002,120.380928,
17/01/15,122.57,117.392715,
18/01/15,120.07,114.998314,
19/01/15,123.279999,118.072723,
20/01/15,125.660004,120.352196,
21/01/15,125.610001,120.304298,
22/01/15,126.82,121.463196,
23/01/15,128.509995,123.081818,
24/01/15,129.619995,124.14492,
25/01/15,132.070007,126.491463,
26/01/15,130.75,125.227188,
27/01/15,125.220001,119.930779,
28/01/15,125.160004,119.873306,
29/01/15,124.5,119.241196,
30/01/15,122.769997,117.584259,
31/01/15,123.379997,118.168503,
01/02/15,122.989998,117.794968,
02/02/15,122.370003,117.201164,
03/02/15,121.300003,116.176353,
04/02/15,118.440002,113.437157,
05/02/15,114.639999,109.797668,
06/02/15,115.400002,110.525574,
07/02/15,115.129997,110.76609,
08/02/15,115.519997,111.141319,
09/02/15,119.720001,115.182114,
10/02/15,113.489998,109.188248,
11/02/15,115.239998,110.871918,
12/02/15,115.150002,110.785339,
13/02/15,115.959999,111.564629,
14/02/15,117.160004,112.719162,
15/02/15,116.5,112.084152,
16/02/15,115.010002,110.650642,
